time,lon,lat,PMSL
01/07/1979 (00:00),-124.34,40.2982,101503
01/07/1979 (00:00),-123.972,40.3637,101501
01/07/1979 (00:00),-123.603,40.4278,101488
01/07/1979 (00:00),-123.234,40.4906,101507
01/07/1979 (00:00),-122.863,40.5519,101565
01/07/1979 (00:00),-122.492,40.6119,101620
01/07/1979 (00:00),-122.12,40.6705,101639
01/07/1979 (00:00),-121.748,40.7277,101646
01/07/1979 (00:00),-121.374,40.7835,101695
01/07/1979 (00:00),-121,40.8378,101720
01/07/1979 (00:00),-120.625,40.8908,101717
01/07/1979 (00:00),-120.249,40.9424,101800
01/07/1979 (00:00),-119.873,40.9925,101919
01/07/1979 (00:00),-119.496,41.0412,102024
01/07/1979 (00:00),-119.118,41.0885,102174
01/07/1979 (00:00),-118.74,41.1343,102330
01/07/1979 (00:00),-118.361,41.1787,102361
01/07/1979 (00:00),-117.982,41.2217,102346
01/07/1979 (00:00),-117.602,41.2632,102280
01/07/1979 (00:00),-117.221,41.3032,102214
01/07/1979 (00:00),-116.84,41.3419,102204
01/07/1979 (00:00),-116.459,41.379,102139
01/07/1979 (00:00),-116.077,41.4147,102091
01/07/1979 (00:00),-115.694,41.4489,102104
01/07/1979 (00:00),-115.311,41.4817,102117
01/07/1979 (00:00),-114.928,41.513,102166
01/07/1979 (00:00),-114.544,41.5428,102241
01/07/1979 (00:00),-114.16,41.5712,102321
01/07/1979 (00:00),-113.775,41.5981,102381
01/07/1979 (00:00),-113.39,41.6235,102525
01/07/1979 (00:00),-113.005,41.6474,102622
01/07/1979 (00:00),-112.619,41.6698,102653
01/07/1979 (00:00),-127.352,40.0028,101224
01/07/1979 (00:00),-126.99,40.0794,101258
01/07/1979 (00:00),-126.627,40.1548,101295
01/07/1979 (00:00),-126.262,40.2288,101337
01/07/1979 (00:00),-125.897,40.3015,101382
01/07/1979 (00:00),-125.531,40.3728,101423
01/07/1979 (00:00),-125.164,40.4428,101460
01/07/1979 (00:00),-124.796,40.5114,101489
