time,lon,lat,PMSL
01/01/1979 (00:00),-126.956,38.895,102597
01/01/1979 (00:00),-126.6,38.97,102585
01/01/1979 (00:00),-126.243,39.0436,102569
01/01/1979 (00:00),-125.885,39.116,102548
01/01/1979 (00:00),-125.527,39.187,102521
01/01/1979 (00:00),-125.167,39.2568,102489
01/01/1979 (00:00),-124.807,39.3252,102451
01/01/1979 (00:00),-124.446,39.3922,102412
01/01/1979 (00:00),-124.084,39.458,102366
01/01/1979 (00:00),-123.721,39.5224,102326
01/01/1979 (00:00),-123.357,39.5854,102312
01/01/1979 (00:00),-122.993,39.6471,102316
01/01/1979 (00:00),-122.627,39.7074,102355
01/01/1979 (00:00),-122.261,39.7663,102386
01/01/1979 (00:00),-121.895,39.8239,102367
01/01/1979 (00:00),-121.527,39.8801,102386
01/01/1979 (00:00),-121.159,39.935,102464
01/01/1979 (00:00),-120.79,39.9884,102581
01/01/1979 (00:00),-120.421,40.0405,102678
01/01/1979 (00:00),-120.05,40.0912,102763
01/01/1979 (00:00),-119.68,40.1404,102801
01/01/1979 (00:00),-119.308,40.1883,102855
01/01/1979 (00:00),-118.936,40.2348,102907
01/01/1979 (00:00),-118.563,40.2798,102956
01/01/1979 (00:00),-118.19,40.3234,103015
01/01/1979 (00:00),-117.816,40.3657,103060
01/01/1979 (00:00),-117.442,40.4065,103095
01/01/1979 (00:00),-117.067,40.4458,103125
01/01/1979 (00:00),-116.691,40.4838,103139
01/01/1979 (00:00),-116.315,40.5203,103148
01/01/1979 (00:00),-115.939,40.5554,103178
01/01/1979 (00:00),-115.562,40.589,103209
01/01/1979 (00:00),-115.185,40.6212,103243
01/01/1979 (00:00),-114.807,40.652,103244
01/01/1979 (00:00),-114.429,40.6813,103231
01/01/1979 (00:00),-114.051,40.7092,103243
01/01/1979 (00:00),-113.672,40.7356,103261
01/01/1979 (00:00),-113.293,40.7605,103278
01/01/1979 (00:00),-112.913,40.784,103295
01/01/1979 (00:00),-112.533,40.8061,103326
01/01/1979 (00:00),-127.054,39.1717,102619
01/01/1979 (00:00),-126.696,39.2471,102610
01/01/1979 (00:00),-126.338,39.3212,102595
01/01/1979 (00:00),-125.978,39.394,102574
01/01/1979 (00:00),-125.618,39.4654,102549
01/01/1979 (00:00),-125.257,39.5356,102517
01/01/1979 (00:00),-124.895,39.6044,102480
01/01/1979 (00:00),-124.532,39.6718,102439
01/01/1979 (00:00),-124.168,39.7379,102394
01/01/1979 (00:00),-123.804,39.8027,102346
01/01/1979 (00:00),-123.438,39.866,102347
01/01/1979 (00:00),-123.072,39.9281,102347
01/01/1979 (00:00),-122.705,39.9887,102396
01/01/1979 (00:00),-122.338,40.048,102439
01/01/1979 (00:00),-121.969,40.106,102432
01/01/1979 (00:00),-121.6,40.1625,102454
01/01/1979 (00:00),-121.23,40.2176,102555
01/01/1979 (00:00),-120.859,40.2714,102664
01/01/1979 (00:00),-120.488,40.3238,102739
01/01/1979 (00:00),-120.116,40.3747,102790
01/01/1979 (00:00),-119.743,40.4243,102827
01/01/1979 (00:00),-119.37,40.4724,102870
01/01/1979 (00:00),-118.996,40.5191,102910
01/01/1979 (00:00),-118.622,40.5645,102991
01/01/1979 (00:00),-118.247,40.6084,103065
01/01/1979 (00:00),-117.871,40.6508,103111
01/01/1979 (00:00),-117.495,40.6919,103147
01/01/1979 (00:00),-117.118,40.7315,103181
01/01/1979 (00:00),-116.741,40.7696,103190
01/01/1979 (00:00),-116.363,40.8064,103204
01/01/1979 (00:00),-115.984,40.8416,103228
01/01/1979 (00:00),-115.606,40.8755,103248
01/01/1979 (00:00),-115.227,40.9079,103296
01/01/1979 (00:00),-114.847,40.9388,103310
01/01/1979 (00:00),-114.467,40.9683,103288
01/01/1979 (00:00),-114.087,40.9963,103303
01/01/1979 (00:00),-113.706,41.0229,103318
01/01/1979 (00:00),-113.325,41.048,103325
01/01/1979 (00:00),-112.943,41.0716,103337
