time,lon,lat,H500
01/07/1979 (00:00),-126.956,38.895,5601.68
01/07/1979 (00:00),-126.6,38.97,5602.68
01/07/1979 (00:00),-126.243,39.0436,5603.68
01/07/1979 (00:00),-125.885,39.116,5604.18
01/07/1979 (00:00),-125.527,39.187,5604.68
01/07/1979 (00:00),-125.167,39.2568,5605.68
01/07/1979 (00:00),-124.807,39.3252,5606.68
01/07/1979 (00:00),-124.446,39.3922,5607.18
01/07/1979 (00:00),-124.084,39.458,5606.68
01/07/1979 (00:00),-123.721,39.5224,5605.68
01/07/1979 (00:00),-123.357,39.5854,5605.68
01/07/1979 (00:00),-122.993,39.6471,5603.68
01/07/1979 (00:00),-122.627,39.7074,5601.18
01/07/1979 (00:00),-122.261,39.7663,5598.68
01/07/1979 (00:00),-121.895,39.8239,5595.68
01/07/1979 (00:00),-121.527,39.8801,5592.18
01/07/1979 (00:00),-121.159,39.935,5588.18
01/07/1979 (00:00),-120.79,39.9884,5585.18
01/07/1979 (00:00),-120.421,40.0405,5582.18
01/07/1979 (00:00),-120.05,40.0912,5578.18
01/07/1979 (00:00),-119.68,40.1404,5575.18
01/07/1979 (00:00),-119.308,40.1883,5571.68
01/07/1979 (00:00),-118.936,40.2348,5568.68
01/07/1979 (00:00),-118.563,40.2798,5565.18
01/07/1979 (00:00),-118.19,40.3234,5561.18
01/07/1979 (00:00),-117.816,40.3657,5557.18
01/07/1979 (00:00),-117.442,40.4065,5553.68
01/07/1979 (00:00),-117.067,40.4458,5549.68
01/07/1979 (00:00),-116.691,40.4838,5545.18
01/07/1979 (00:00),-116.315,40.5203,5541.18
01/07/1979 (00:00),-115.939,40.5554,5536.68
01/07/1979 (00:00),-115.562,40.589,5532.68
01/07/1979 (00:00),-115.185,40.6212,5529.18
01/07/1979 (00:00),-114.807,40.652,5525.68
01/07/1979 (00:00),-114.429,40.6813,5522.68
01/07/1979 (00:00),-114.051,40.7092,5518.68
01/07/1979 (00:00),-113.672,40.7356,5515.18
01/07/1979 (00:00),-113.293,40.7605,5511.68
01/07/1979 (00:00),-112.913,40.784,5508.68
01/07/1979 (00:00),-112.533,40.8061,5504.68
01/07/1979 (00:00),-127.054,39.1717,5598.18
01/07/1979 (00:00),-126.696,39.2471,5599.18
01/07/1979 (00:00),-126.338,39.3212,5600.18
01/07/1979 (00:00),-125.978,39.394,5600.68
01/07/1979 (00:00),-125.618,39.4654,5601.68
01/07/1979 (00:00),-125.257,39.5356,5602.18
01/07/1979 (00:00),-124.895,39.6044,5602.68
01/07/1979 (00:00),-124.532,39.6718,5603.18
01/07/1979 (00:00),-124.168,39.7379,5603.18
01/07/1979 (00:00),-123.804,39.8027,5602.18
01/07/1979 (00:00),-123.438,39.866,5601.68
01/07/1979 (00:00),-123.072,39.9281,5600.18
01/07/1979 (00:00),-122.705,39.9887,5598.18
01/07/1979 (00:00),-122.338,40.048,5595.68
01/07/1979 (00:00),-121.969,40.106,5592.68
01/07/1979 (00:00),-121.6,40.1625,5589.18
01/07/1979 (00:00),-121.23,40.2176,5585.68
01/07/1979 (00:00),-120.859,40.2714,5582.68
01/07/1979 (00:00),-120.488,40.3238,5579.68
01/07/1979 (00:00),-120.116,40.3747,5576.68
01/07/1979 (00:00),-119.743,40.4243,5573.18
01/07/1979 (00:00),-119.37,40.4724,5570.18
01/07/1979 (00:00),-118.996,40.5191,5567.18
01/07/1979 (00:00),-118.622,40.5645,5563.68
01/07/1979 (00:00),-118.247,40.6084,5559.68
01/07/1979 (00:00),-117.871,40.6508,5556.18
01/07/1979 (00:00),-117.495,40.6919,5552.68
01/07/1979 (00:00),-117.118,40.7315,5548.68
01/07/1979 (00:00),-116.741,40.7696,5544.68
01/07/1979 (00:00),-116.363,40.8064,5540.68
01/07/1979 (00:00),-115.984,40.8416,5536.18
01/07/1979 (00:00),-115.606,40.8755,5532.68
01/07/1979 (00:00),-115.227,40.9079,5528.68
01/07/1979 (00:00),-114.847,40.9388,5525.18
01/07/1979 (00:00),-114.467,40.9683,5522.18
01/07/1979 (00:00),-114.087,40.9963,5517.68
01/07/1979 (00:00),-113.706,41.0229,5513.68
01/07/1979 (00:00),-113.325,41.048,5509.68
01/07/1979 (00:00),-112.943,41.0716,5505.68
01/07/1979 (00:00),-112.561,41.0938,5501.18
01/07/1979 (00:00),-127.152,39.4486,5595.18
01/07/1979 (00:00),-126.793,39.5244,5595.68
01/07/1979 (00:00),-126.433,39.5989,5597.18
01/07/1979 (00:00),-126.072,39.6721,5597.68
01/07/1979 (00:00),-125.71,39.744,5598.18
01/07/1979 (00:00),-125.347,39.8145,5598.68
01/07/1979 (00:00),-124.984,39.8837,5599.18
01/07/1979 (00:00),-124.619,39.9515,5599.68
