time,lon,lat,H500
01/01/1979 (00:00),-112.974,41.3594,5378.71
01/01/1979 (00:00),-112.59,41.3817,5373.21
01/01/1979 (00:00),-127.252,39.7256,5696.71
01/01/1979 (00:00),-126.891,39.8019,5693.71
01/01/1979 (00:00),-126.529,39.8768,5690.21
01/01/1979 (00:00),-126.167,39.9504,5686.71
01/01/1979 (00:00),-125.803,40.0227,5682.71
01/01/1979 (00:00),-125.439,40.0936,5678.21
01/01/1979 (00:00),-125.073,40.1632,5673.71
01/01/1979 (00:00),-124.707,40.2314,5668.71
01/01/1979 (00:00),-124.34,40.2982,5663.71
01/01/1979 (00:00),-123.972,40.3637,5658.71
01/01/1979 (00:00),-123.603,40.4278,5653.21
01/01/1979 (00:00),-123.234,40.4906,5646.71
01/01/1979 (00:00),-122.863,40.5519,5639.71
01/01/1979 (00:00),-122.492,40.6119,5631.71
01/01/1979 (00:00),-122.12,40.6705,5623.71
01/01/1979 (00:00),-121.748,40.7277,5615.71
01/01/1979 (00:00),-121.374,40.7835,5606.71
01/01/1979 (00:00),-121,40.8378,5596.71
01/01/1979 (00:00),-120.625,40.8908,5586.71
01/01/1979 (00:00),-120.249,40.9424,5576.21
01/01/1979 (00:00),-119.873,40.9925,5564.71
01/01/1979 (00:00),-119.496,41.0412,5553.21
01/01/1979 (00:00),-119.118,41.0885,5540.71
01/01/1979 (00:00),-118.74,41.1343,5527.71
01/01/1979 (00:00),-118.361,41.1787,5515.21
01/01/1979 (00:00),-117.982,41.2217,5501.71
01/01/1979 (00:00),-117.602,41.2632,5488.71
01/01/1979 (00:00),-117.221,41.3032,5475.71
01/01/1979 (00:00),-116.84,41.3419,5462.21
01/01/1979 (00:00),-116.459,41.379,5450.71
01/01/1979 (00:00),-116.077,41.4147,5439.71
01/01/1979 (00:00),-115.694,41.4489,5428.71
01/01/1979 (00:00),-115.311,41.4817,5418.71
01/01/1979 (00:00),-114.928,41.513,5409.71
01/01/1979 (00:00),-114.544,41.5428,5401.21
01/01/1979 (00:00),-114.16,41.5712,5393.21
01/01/1979 (00:00),-113.775,41.5981,5385.71
01/01/1979 (00:00),-113.39,41.6235,5378.21
01/01/1979 (00:00),-113.005,41.6474,5371.21
01/01/1979 (00:00),-112.619,41.6698,5366.21
01/01/1979 (00:00),-127.352,40.0028,5694.21
01/01/1979 (00:00),-126.99,40.0794,5691.21
01/01/1979 (00:00),-126.627,40.1548,5688.21
01/01/1979 (00:00),-126.262,40.2288,5684.21
01/01/1979 (00:00),-125.897,40.3015,5680.21
01/01/1979 (00:00),-125.531,40.3728,5675.71
01/01/1979 (00:00),-125.164,40.4428,5671.21
01/01/1979 (00:00),-124.796,40.5114,5666.21
01/01/1979 (00:00),-124.427,40.5786,5660.71
01/01/1979 (00:00),-124.058,40.6445,5655.71
01/01/1979 (00:00),-123.687,40.7089,5650.21
01/01/1979 (00:00),-123.316,40.772,5644.21
01/01/1979 (00:00),-122.944,40.8338,5636.71
01/01/1979 (00:00),-122.571,40.8941,5628.71
01/01/1979 (00:00),-122.197,40.953,5620.71
01/01/1979 (00:00),-121.822,41.0105,5611.71
01/01/1979 (00:00),-121.447,41.0666,5601.71
01/01/1979 (00:00),-121.071,41.1213,5592.21
01/01/1979 (00:00),-120.694,41.1746,5581.71
01/01/1979 (00:00),-120.317,41.2264,5571.21
01/01/1979 (00:00),-119.939,41.2768,5559.71
